InitialSeparationM,OvertakingSpeedMPS,OncomingSpeedMPS,Success
196.3,29.9,1.7,True
107.3,34.9,14.1,True
173.0,30.1,15.8,False
137.9,25.1,28.3,False
195.9,31.7,24.3,False
157.1,43.8,5.1,True
148.8,39.4,23.9,False
183.5,34.0,15.9,True
85.4,40.8,22.2,False
102.7,44.9,8.5,True
171.0,44.3,23.1,False
131.3,25.2,0.8,True
116.3,38.2,2.3,True
185.8,27.7,0.6,False
169.6,36.5,7.3,True
148.9,35.1,7.8,True
199.6,29.7,26.4,False
149.5,28.9,5.5,True
195.4,38.7,2.3,True
153.3,37.3,12.7,True
172.6,33.0,9.3,False
71.4,34.3,13.6,True
52.3,33.8,9.0,True
155.9,43.8,9.8,True
73.1,32.3,22.6,False
53.7,28.4,15.9,True
115.2,35.4,11.2,True
83.5,44.3,29.2,False
187.0,32.2,18.6,True
150.8,34.0,12.7,True
153.4,33.9,29.5,False
143.0,43.8,5.4,True
139.9,43.8,6.5,True
153.5,30.6,20.0,True
142.2,26.3,23.2,False
101.0,31.7,28.6,False
58.3,40.9,14.2,True
190.3,35.4,6.7,True
129.0,43.5,3.4,True
113.5,36.7,27.2,False
106.0,38.4,27.8,False
87.4,28.9,25.7,False
56.5,28.2,28.2,False
76.4,40.0,1.2,True
134.6,31.5,8.2,True
152.8,29.8,26.9,False
124.3,32.8,28.8,False
185.6,26.6,7.9,True
131.8,39.1,20.2,False
146.8,34.1,17.0,True
196.0,33.6,0.6,True
118.8,30.9,11.1,True
131.7,39.9,0.4,False
162.5,34.8,4.2,True
140.0,33.3,24.4,False
129.2,39.0,18.4,True
78.9,37.9,8.7,True
153.5,34.4,28.0,False
179.3,35.2,26.1,False
52.8,33.2,27.2,False
67.3,39.9,29.8,False
106.6,26.8,15.1,True
102.7,27.1,25.5,False
162.7,43.5,4.7,True
188.8,26.1,16.1,False
192.7,40.8,26.3,False
121.1,25.5,7.7,False
151.6,31.1,22.2,False
152.4,28.4,18.7,True
124.5,25.5,3.3,False
185.1,37.4,25.4,False
69.7,28.1,13.3,True
112.5,25.4,2.9,True
172.8,34.6,3.2,False
127.8,41.3,13.3,True
147.6,42.0,28.7,False
69.1,41.0,19.5,True
64.5,25.3,10.1,False
183.8,28.0,0.2,True
99.4,42.5,2.3,True
108.2,42.7,21.8,False
94.5,40.4,26.8,False
151.7,27.1,6.3,False
184.0,27.3,24.1,False
173.3,33.7,1.6,True
145.4,30.0,23.4,False
117.4,26.7,26.5,False
136.9,40.3,12.5,True
128.5,41.0,6.3,True
134.6,42.7,5.7,True
111.8,30.1,12.9,False
191.7,43.6,16.5,True
167.7,27.1,19.1,False
143.2,44.6,23.8,False
