InitialSeparationM,OvertakingSpeedMPS,OncomingSpeedMPS,Success
169.3,33.5,7.5,True
66.3,25.1,15.1,False
102.7,31.6,18.3,False
73.4,31.8,26.1,False
93.3,28.0,20.4,False
137.2,40.1,12.0,True
97.8,31.8,22.3,False
70.8,39.8,3.6,True
132.3,42.7,7.6,True
148.9,31.5,2.5,True
51.9,30.0,6.9,True
98.5,40.9,16.3,True
134.7,27.7,21.5,False
55.1,38.6,6.9,True
100.3,25.9,7.5,True
103.3,35.3,7.2,True
165.6,31.3,24.3,False
134.9,32.6,27.8,False
163.6,44.1,22.3,False
155.6,34.7,12.5,True
94.4,25.7,29.0,False
198.4,37.2,3.7,True
138.1,43.4,10.2,True
68.2,35.3,1.0,True
93.1,35.6,20.3,False
61.7,28.2,17.9,False
63.6,35.4,0.9,True
81.3,43.7,9.8,True
146.6,40.4,12.6,True
150.2,32.3,7.5,True
146.0,32.4,3.2,True
84.9,35.9,10.4,True
92.9,31.7,9.3,True
104.2,41.9,6.9,True
177.8,42.4,23.3,False
62.7,27.0,20.7,False
146.0,43.9,2.0,True
144.0,34.0,23.2,False
194.6,34.8,26.8,False
166.0,25.1,24.0,False
164.0,41.6,23.7,False
99.2,39.7,9.2,True
96.3,26.8,12.9,False
152.5,39.7,15.3,False
167.1,31.9,21.9,False
155.8,30.2,1.8,True
76.8,41.6,3.2,True
81.4,37.9,10.5,True
55.8,25.7,24.3,False
96.8,27.0,17.8,False
117.8,32.0,29.4,False
64.9,31.2,4.5,True
136.1,30.9,24.8,False
89.6,37.0,25.4,False
170.2,41.0,12.2,True
74.2,28.7,11.2,False
66.1,34.2,1.6,True
167.1,37.5,10.6,True
141.4,30.7,2.0,True
74.8,45.0,25.6,False
187.6,28.1,21.3,False
140.7,30.9,11.1,False
99.2,34.7,3.8,True
163.9,30.8,27.3,False
70.6,40.0,16.1,True
61.0,26.3,21.8,False
120.5,44.0,13.3,True
116.2,28.6,16.5,False
104.1,32.1,16.3,False
98.1,25.2,2.3,True
77.9,33.2,10.6,True
174.3,27.7,8.6,True
72.6,33.1,22.9,False
150.1,35.5,21.8,False
146.7,31.0,20.1,False
138.3,35.0,11.5,True
158.2,29.7,22.4,False
85.0,29.1,24.5,False
197.4,33.2,1.7,True
99.6,28.6,2.1,True
148.1,42.7,27.8,False
161.4,42.7,12.0,True
77.9,29.1,29.1,False
136.5,27.6,7.8,True
128.9,44.8,18.5,True
148.2,27.8,11.9,False
174.8,44.6,3.5,True
132.7,44.2,19.8,True
94.4,28.4,27.4,False
197.0,32.7,22.7,False
76.8,33.9,27.6,False
127.9,37.3,11.5,True
184.6,42.1,29.0,False
151.4,32.1,10.3,True
107.4,41.5,15.4,True
82.9,44.1,5.2,True
88.0,33.2,17.0,False
61.9,35.4,8.5,True
51.5,40.4,22.3,False
182.2,35.5,29.1,False
