InitialSeparationM,OvertakingSpeedMPS,OncomingSpeedMPS,Success
62.3,35.3,0.6,True
174.4,26.7,16.5,False
198.1,42.1,5.5,True
92.6,41.5,5.0,True
89.1,37.9,14.4,True
146.1,42.0,9.5,True
170.4,35.8,9.2,True
123.3,44.2,11.2,True
107.0,43.3,11.9,True
114.3,39.5,7.9,True
77.6,38.6,23.9,False
75.2,43.0,26.7,False
71.2,41.1,6.2,True
151.5,42.4,6.0,True
113.2,31.3,8.3,False
183.2,38.8,23.6,False
58.0,29.4,22.3,False
93.6,40.6,17.3,True
109.2,25.8,24.1,False
96.9,29.5,18.0,False
169.4,34.7,12.1,True
115.8,34.9,23.7,False
58.4,36.9,24.5,False
185.3,36.6,28.2,False
80.2,38.9,9.4,True
177.4,43.0,16.9,True
112.8,36.1,3.7,True
88.1,35.6,15.8,True
79.3,25.8,28.2,False
175.1,38.0,22.2,False
67.3,36.9,4.1,True
110.0,27.1,20.9,False
55.7,26.9,24.7,False
89.9,33.9,9.4,True
158.5,34.5,16.5,False
50.8,27.5,24.9,False
74.1,41.4,5.5,True
193.3,39.5,7.9,True
154.8,25.2,19.7,False
111.6,44.5,10.5,True
57.4,27.6,29.2,False
172.5,28.6,18.1,False
114.4,39.7,12.9,True
194.6,34.4,12.9,False
199.4,25.4,20.6,False
132.7,39.3,14.8,True
112.1,35.3,9.0,True
142.4,27.4,23.5,False
90.2,28.9,8.6,True
173.6,27.3,2.6,True
52.5,43.8,0.8,True
126.2,32.0,11.0,True
113.5,38.9,1.4,True
128.7,44.5,1.1,True
132.0,29.9,12.0,False
100.3,42.7,4.7,True
64.6,32.5,1.8,True
138.5,41.8,19.1,True
123.3,33.2,8.7,True
142.2,42.7,7.9,True
167.2,31.0,21.0,False
143.7,25.0,7.1,False
193.6,30.7,23.2,False
74.2,29.2,22.0,False
94.7,43.1,28.2,False
151.2,31.4,21.3,False
114.3,27.1,5.2,True
152.0,29.8,23.2,False
178.2,34.8,17.2,True
100.3,42.6,8.4,True
100.8,43.0,2.4,True
71.7,36.3,16.7,True
145.1,28.1,18.8,False
88.9,32.0,6.5,True
191.4,29.2,24.0,False
58.7,36.9,5.5,True
77.0,35.7,22.5,False
113.1,26.5,20.5,False
126.9,41.2,12.3,True
117.2,26.4,9.4,True
82.4,43.2,20.6,False
73.5,25.9,27.4,False
60.2,41.4,2.9,True
115.9,27.4,14.4,False
120.2,38.1,26.3,False
167.3,27.6,3.0,True
77.9,32.4,16.1,False
191.3,33.4,15.8,False
148.9,37.5,10.9,True
52.2,37.5,26.6,False
195.9,27.7,16.4,False
100.9,25.8,27.5,False
114.0,27.2,2.7,True
53.1,38.1,27.5,False
131.1,32.8,21.5,False
179.3,34.3,1.4,True
61.4,39.5,8.1,True
115.0,25.3,10.9,False
138.8,34.6,14.0,True
146.3,29.7,2.3,True
