InitialSeparationM,OvertakingSpeedMPS,OncomingSpeedMPS,Success
39.4,34.5,23.6,True
60.5,33.8,21.9,False
49.2,39.8,29.3,False
68.5,29.7,16.7,False
35.8,39.0,14.4,True
71.6,37.0,21.7,True
6.3,21.0,14.5,False
133.6,24.3,0.6,False
103.9,24.8,15.6,True
31.2,26.1,11.8,True
91.8,38.4,22.7,True
115.5,30.7,10.4,True
133.7,21.0,27.0,True
120.0,23.5,22.0,True
94.3,26.0,27.5,False
110.2,39.0,17.0,False
135.8,39.2,1.8,True
63.8,33.3,22.0,True
60.0,35.2,29.0,False
92.2,26.3,0.1,False
21.9,26.4,13.7,False
145.7,39.7,29.6,True
138.9,38.4,14.4,True
76.4,22.8,3.1,False
124.0,31.5,24.9,False
11.3,30.9,12.4,False
47.5,22.0,10.5,False
42.6,30.6,4.0,False
38.3,28.3,10.3,True
97.9,31.7,11.5,True
58.9,27.6,29.7,True
49.2,27.7,28.4,False
44.0,33.6,26.7,True
3.5,39.4,12.2,True
82.7,23.9,19.0,True
9.6,37.4,27.7,False
93.0,25.4,10.8,True
123.5,21.0,15.1,True
72.6,34.7,27.3,True
67.6,22.7,13.9,True
94.4,35.0,2.3,True
2.6,26.7,8.0,True
103.1,20.7,14.7,True
23.9,23.8,8.1,True
107.3,35.2,5.0,False
0.8,26.4,0.9,True
19.4,23.9,18.0,False
25.3,23.5,15.3,True
102.9,23.1,15.3,True
31.0,37.0,21.0,False
137.7,23.4,12.7,True
121.4,29.9,0.1,True
72.4,21.5,9.4,False
61.9,22.6,12.0,False
124.3,20.6,7.0,False
72.4,24.5,13.1,True
37.4,33.7,27.8,False
94.6,20.2,8.3,False
128.3,29.3,8.9,False
19.7,33.1,21.9,True
0.3,25.6,11.5,False
81.4,34.2,18.3,True
100.5,22.5,19.9,True
147.4,33.8,4.2,False
138.2,21.3,7.8,False
136.1,35.0,14.8,True
111.0,25.2,29.9,True
17.0,33.4,22.1,True
147.6,33.6,7.2,True
138.9,36.7,4.2,False
104.4,23.3,1.9,True
96.0,28.6,0.7,False
122.2,22.0,8.4,False
44.3,26.1,1.4,True
100.6,27.3,28.3,True
57.3,33.4,11.5,True
54.0,31.0,4.4,False
91.2,28.9,12.9,True
10.8,25.8,25.5,False
87.2,31.0,17.4,False
130.8,37.4,26.2,False
137.5,37.8,12.0,True
84.7,23.3,23.3,False
61.6,20.8,11.6,True
36.4,23.5,23.3,True
147.6,32.1,17.5,False
17.5,24.1,15.3,True
87.6,25.7,5.0,False
91.1,20.1,14.2,False
38.4,27.8,3.5,True
6.6,39.0,2.8,False
6.7,23.8,24.5,False
58.0,39.6,27.4,False
110.8,25.0,1.4,True
87.4,39.1,1.6,True
41.6,22.8,16.3,False
143.1,31.7,14.2,False
108.3,35.1,29.0,False
113.3,38.8,8.2,False
74.7,23.1,11.2,False
52.8,30.4,27.4,False
118.3,34.9,2.6,True
65.5,28.1,10.2,True
137.6,36.2,14.9,True
107.4,39.9,10.3,True
45.6,23.4,22.9,True
60.9,32.4,2.8,False
140.2,35.5,21.3,True
98.1,29.5,27.6,True
93.1,37.2,7.5,False
114.3,34.0,14.2,False
72.9,28.7,21.6,True
142.0,27.3,4.2,True
0.7,20.4,14.1,False
0.4,33.8,2.4,True
85.9,24.2,6.4,False
