InitialSeparationM,OvertakingSpeedMPS,OncomingSpeedMPS,Success
77.1,36.0,5.0,True
60.3,23.9,29.7,False
2.6,29.8,7.9,False
44.3,25.3,16.3,True
15.8,24.3,13.6,True
45.0,34.5,8.1,True
106.8,28.0,6.9,True
131.9,39.2,27.1,False
17.1,26.9,1.4,False
62.1,29.9,1.3,False
70.1,31.3,0.7,False
117.0,33.1,15.2,True
28.8,38.6,6.9,False
51.2,34.2,23.0,False
59.8,37.8,12.2,True
69.4,21.7,18.6,True
132.6,31.9,13.9,True
105.1,36.6,1.1,True
59.7,30.1,19.8,True
17.1,39.0,5.5,True
126.8,36.2,7.7,False
24.1,35.1,3.8,True
82.7,38.5,7.1,True
59.0,37.4,18.6,True
35.0,36.6,11.6,True
129.1,20.7,28.6,False
72.0,27.2,14.5,True
113.8,23.8,19.5,True
49.4,34.1,15.6,False
4.1,33.5,6.4,True
140.4,33.9,9.4,False
71.8,31.2,19.7,True
134.3,25.4,29.8,True
8.0,36.5,20.1,True
52.0,20.0,8.5,False
10.9,20.8,22.9,True
97.3,35.6,12.4,False
11.6,34.2,25.1,True
8.3,20.9,20.6,True
143.3,26.7,21.4,True
90.4,21.8,7.3,True
6.9,21.9,1.3,True
50.1,22.5,13.2,False
7.0,33.0,10.8,True
43.3,39.9,20.4,False
120.2,34.0,6.4,True
47.7,28.5,21.0,True
51.1,29.8,0.1,True
52.8,37.2,4.9,False
63.3,24.6,17.5,False
141.0,32.6,23.1,True
131.3,33.0,4.1,False
122.5,39.0,21.7,False
44.0,31.2,28.5,True
132.7,31.8,3.5,True
59.5,35.5,27.5,True
104.1,30.9,28.9,False
82.2,22.0,6.2,True
40.6,24.5,7.8,True
51.3,24.8,26.2,False
80.9,25.1,18.1,True
116.6,22.1,27.1,True
44.8,32.4,10.4,True
118.4,23.5,3.5,False
98.6,25.3,16.6,False
125.1,34.5,29.8,True
148.7,24.9,18.0,True
121.3,28.9,23.4,False
77.6,29.5,17.0,True
135.0,21.4,16.5,True
